date,tmin,tmax,prcp,snow,snwd,awnd
1/9/2017,9,31,0,0,1.2,2.46
1/11/2017,40,57,0,0,0,6.04
1/19/2017,36,63,0,0,0,1.34
1/20/2017,46,59,0.09,0,0,2.91
1/24/2017,41,63,0,0,0,6.04
1/26/2017,43,70,0.06,0,0,13.42
1/30/2017,30,46,0,0,0,6.26
2/6/2017,31,68,0,0,0,4.7
2/10/2017,26,51,0,0,0,6.71
2/12/2017,58,83,0.05,0,0,11.41
2/16/2017,32,53,0,0,0,6.71
3/6/2017,34,65,0,0,0,6.71
3/13/2017,26,42,0.56,0,0,8.28
3/15/2017,24,40,0,0,0,10.51
3/17/2017,23,58,0.03,0,0,4.92
3/22/2017,39,64,0,0,0,8.28
3/23/2017,31,56,0,0,0,7.38
4/1/2017,49,75,0,0,0,6.04
4/2/2017,49,69,0,0,0,6.04
4/15/2017,61,85,0,0,0,9.62
4/16/2017,60,82,0,0,0,12.75
4/17/2017,62,86,0.05,0,0,9.84
4/20/2017,56,85,0,0,0,5.82
4/21/2017,63,89,0.21,0,0,6.93
5/1/2017,68,85,0.29,0,0,15.66
5/11/2017,61,84,0.48,0,0,4.92
5/12/2017,54,61,0.07,0,0,7.61
5/18/2017,66,86,0,0,0,10.96
5/26/2017,59,81,0,0,0,7.83
5/30/2017,68,82,0.06,0,0,4.03
6/3/2017,57,88,0,0,0,3.36
6/5/2017,67,85,1.54,0,0,6.04
6/11/2017,67,90,0,0,0,6.26
6/16/2017,70,89,2.3,0,0,4.03
6/18/2017,74,91,0.17,0,0,8.72
6/25/2017,67,84,0,0,0,3.58
6/28/2017,57,83,0,0,0,4.25
7/13/2017,78,97,0,0,0,8.5
7/14/2017,77,97,0,0,0,9.4
7/18/2017,71,89,0,0,0,5.14
7/28/2017,75,94,0.21,0,0,7.61
7/30/2017,63,85,0,0,0,6.26
8/18/2017,75,98,0.01,0,0,7.38
8/19/2017,73,92,0.05,0,0,2.91
8/20/2017,71,95,0,0,0,3.58
8/30/2017,59,84,0,0,0,1.79
9/1/2017,64,78,1.06,0,0,7.83
9/5/2017,64,90,0.06,0,0,8.05
9/6/2017,61,82,0.52,0,0,4.92
9/11/2017,58,67,0.01,0,0,12.75
9/28/2017,63,94,0,0,0,3.13
10/2/2017,47,76,0,0,0,4.92
10/6/2017,55,86,0,0,0,2.91
10/11/2017,73,89,1.12,0,0,8.05
10/12/2017,65,77,0,0,0,8.28
10/13/2017,63,71,0,0,0,7.38
10/14/2017,62,78,0,0,0,3.13
10/26/2017,40,63,0,0,0,3.8
10/29/2017,41,68,0.78,0,0,7.61
11/5/2017,51,70,0,0,0,2.46
11/18/2017,33,67,0,0,0,11.41
11/19/2017,34,64,0.08,0,0,9.17
11/20/2017,28,57,0,0,0,2.01
12/4/2017,33,61,0,0,0,2.46
12/14/2017,30,57,0,0,0,7.38
1/1/2018,13,28,0,0,0,6.49
1/7/2018,4,30,0,0,0,2.68
1/14/2018,21,33,0,0,0,8.72
1/19/2018,19,49,0,0,3.9,3.58
1/20/2018,26,56,0,0,1.2,5.59
1/23/2018,47,70,0.83,0,0,15.66
1/24/2018,34,54,0,0,0,4.03
1/27/2018,31,67,0,0,0,6.26
1/28/2018,52,60,1.3,0,0,5.14
2/7/2018,44,65,0.21,0,0,8.5
2/17/2018,40,56,0.06,0,0,6.93
3/2/2018,41,55,0,0,0,14.99
3/3/2018,35,57,0,0,0,8.72
3/12/2018,32,38,0.92,1.4,0,7.16
3/20/2018,36,57,1.05,0,0,8.72
4/1/2018,41,75,0,0,0,7.61
4/4/2018,48,77,0,0,0,13.87
4/10/2018,39,62,0,0,0,5.37
4/11/2018,38,62,0,0,0,5.37
4/13/2018,52,80,0,0,0,14.32
4/15/2018,61,82,3.31,0,0,12.53
4/21/2018,37,68,0,0,0,4.47
4/26/2018,48,75,0.18,0,0,3.36
4/27/2018,54,73,0.01,0,0,4.92
5/1/2018,45,83,0,0,0,4.47
5/13/2018,66,93,0,0,0,6.04
5/14/2018,68,93,0,0,0,8.05
5/18/2018,71,82,0.23,0,0,8.28
5/25/2018,65,86,0,0,0,5.82
5/26/2018,68,87,0.33,0,0,8.5
6/7/2018,62,85,0,0,0,4.92
6/12/2018,63,70,0.01,0,0,6.26
6/16/2018,65,90,0,0,0,4.47
6/18/2018,74,94,0,0,0,4.92
6/20/2018,73,94,0,0,0,4.47
6/24/2018,73,96,0.07,0,0,7.61
6/26/2018,66,74,0.74,0,0,6.93
7/6/2018,71,93,0.34,0,0,3.8
7/8/2018,62,82,0,0,0,8.05
7/10/2018,59,91,0,0,0,2.46
7/16/2018,74,95,0,0,0,8.05
7/18/2018,72,89,0,0,0,6.71
7/19/2018,63,90,0,0,0,7.16
7/21/2018,69,88,0.01,0,0,6.71
7/23/2018,70,88,0.02,0,0,6.26
7/25/2018,69,82,0.27,0,0,3.8
8/1/2018,73,90,0.02,0,0,9.17
8/7/2018,71,93,0.2,0,0,6.71
8/9/2018,69,90,0,0,0,4.7
8/10/2018,69,91,0,0,0,2.01
8/13/2018,67,85,0.08,0,0,3.58
8/20/2018,68,87,0.86,0,0,4.47
8/27/2018,69,93,0,0,0,4.03
8/31/2018,69,92,0.27,0,0,3.8
9/10/2018,67,88,0.26,0,0,4.47
9/28/2018,65,79,0.02,0,0,4.92
10/1/2018,60,82,0,0,0,2.01
10/3/2018,64,86,0,0,0,2.68
10/4/2018,66,89,0,0,0,2.68
10/7/2018,66,87,0,0,0,2.91
10/8/2018,69,85,0,0,0,6.26
10/11/2018,63,79,2.6,0,0,11.63
10/13/2018,48,70,0,0,0,3.36
10/15/2018,59,80,0,0,0,5.59
10/17/2018,53,71,0,0,0,3.58
10/18/2018,43,62,0,0,0,4.47
10/25/2018,36,55,0,0,0,1.34
11/5/2018,54,62,0.82,0,0,3.8
11/6/2018,57,74,0.03,0,0,7.38
11/10/2018,34,52,0,0,0,6.26
11/24/2018,36,45,0.72,0,0,5.14
11/29/2018,25,51,0,0,0,3.13
12/2/2018,58,71,0,0,0,10.96
12/10/2018,30,34,0.73,1.9,1.2,7.61
